title,content,publishedAt,source,url,theme
L'Allemagne est-elle en passe de prendre un virage historique dans sa politique budgétaire?,"L'Allemagne a dévoilé mercredi son futur gouvernement et un accord de coalition entre conservateurs et socio-démocrates. Outre le blanc-seing laissé aux dépenses de défense, il marque aussi un véritable tournant en assouplissant le tabou de la rigueu... [4636 chars]",2025-04-10T13:23:41Z,RTS.ch,https://www.rts.ch/info/monde/2025/article/allemagne-virage-historique-vers-une-politique-budgetaire-plus-souple-28850725.html,politique
Pourquoi Donald Trump met en danger les producteurs de pétrole américain ?,"Depuis l’investiture de Donald Trump, le baril de pétrole est en baisse d’environ 20%, conséquence notamment de sa politique tarifaire. Pourtant, la baisse du prix de l’énergie était un des objectifs affichés pendant sa campagne. Seulement, l’idée de... [3600 chars]",2025-04-10T13:13:00Z,Zonebourse.com,https://www.zonebourse.com/actualite-bourse/Pourquoi-Donald-Trump-met-en-danger-les-producteurs-de-petrole-americain--49584737/,politique
"Loi PLM pour les municipales : ce que cela change pour Paris, Lyon et Marseille",Une proposition de loi visant à modifier le mode de scrutin dans les trois plus grandes villes françaises a été adoptée à l'Assemblée nationale. Elle doit encore être examinée au Sénat et pourrait entrainer d'importants changements pour les élections... [4827 chars],2025-04-10T13:10:00Z,Linternaute.com,https://www.linternaute.com/actualite/politique/7683503-loi-plm-pour-les-municipales-ce-que-cela-change-pour-paris-lyon-et-marseille/,politique
L’éternité en politique,"Le chef conservateur, Pierre Poilievre, faisant la comparaison des engagements de son parti et de ceux du Parti libéral du Canada, lors d’un arrêt de campagne à Saint John’s, le 1 er avril
Imposition – et suspension – de droits de douane sans précéde... [7182 chars]",2025-04-10T13:00:00Z,La Presse,https://www.lapresse.ca/dialogue/opinions/2025-04-10/l-eternite-en-politique.php,politique
"Affirmation, autonomie et leadership","Décédé prématurément le 30 mars 2024, Benoît Pelletier a contribué de manière exceptionnelle à la vie politique et constitutionnelle du Québec et du Canada.
Emmanuelle Richez Professeure agrégée de science politique, Université de Windsor et ancienne... [4179 chars]",2025-04-10T13:00:00Z,La Presse,https://www.lapresse.ca/dialogue/opinions/2025-04-10/reflexions-sur-l-heritage-de-benoit-pelletier/affirmation-autonomie-et-leadership.php,politique
"Animations, contexte politique, personnalités : quatre bonnes raisons d’aller aux 80 ans de la Libération de la Poche de Lorient","1La majeure partie des animations sont libres d’accès La plupart des évènements du samedi 10 mai 2025 seront gratuits et ne nécessiteront pas d’inscriptions au préalable, sauf de rares exceptions. C’est notamment le cas de la cérémonie militaire, acc... [3330 chars]",2025-04-10T12:51:04Z,Le Télégramme,https://www.letelegramme.fr/morbihan/lorient-56100/animations-contexte-politique-personnalites-quatre-bonnes-raisons-daller-aux-80-ans-de-la-liberation-de-la-poche-de-lorient-6796271.php,politique
La classe politique divisée sur la reconnaissance de l'Etat palestinien,"""Enfin!"", ""prématuré"" : la classe politique française s'est divisée jeudi sur l'annonce par Emmanuel Macron que la France pourrait reconnaître ""en juin"" un État palestinien dans le cadre ""d'une dynamique collective"" de reconnaissances réciproques.
Le... [3699 chars]",2025-04-10T11:56:01Z,Actu Orange,https://actu.orange.fr/politique/la-classe-politique-divisee-sur-la-reconnaissance-de-l-etat-palestinien-CNT000002ih2mw.html,politique
La classe politique divisée sur la reconnaissance de l'Etat palestinien,"""Enfin!"", ""prématuré"" : la classe politique française s'est divisée jeudi sur l'annonce par Emmanuel Macron que la France pourrait reconnaître ""en juin"" un État palestinien dans le cadre ""d'une dynamique collective"" de reconnaissances réciproques.
Le... [3699 chars]",2025-04-10T11:56:01Z,Actu Orange,https://actu.orange.fr/france/la-classe-politique-divisee-sur-la-reconnaissance-de-l-etat-palestinien-CNT000002ih2mw.html,politique
Les effets de la politique douanière sur l’inflation,"Les risques de ralentissement économique laissent entrevoir une nouvelle baisse des taux d'intérêt en avril.
Comment la situation évolue en quelques semaines. Si la Banque centrale européenne (BCE) n’avait pas encore totalement exclu une pause dans l... [1318 chars]",2025-04-10T11:38:20Z,allnews.ch,https://www.allnews.ch/content/points-de-vue/les-effets-de-la-politique-douani%C3%A8re-sur-l%E2%80%99inflation,politique
"Droits de douane, État palestinien, Festival de Cannes : le point à la mi-journée","Droits de douane : la Chine appelle au compromis, les marchés boursiers euphoriques
Les principales places boursières asiatiques et européennes ont, elles, rebondi , les investisseurs pariant sur une accalmie dans la guerre commerciale mondiale après... [3945 chars]",2025-04-10T11:00:39Z,Le Télégramme,https://www.letelegramme.fr/monde/droits-de-douane-etat-palestinien-festival-de-cannes-le-point-a-la-mi-journee-6796185.php,politique
